id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on-board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction,total_delay,average_service_rating
17836,1,0,52,1,2,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0,1,0.0,4.25
76872,0,0,43,1,1,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0.0,0,0.0,4.25
64287,0,0,50,0,0,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0,1,8.0,4.25
63995,1,0,60,0,0,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49.0,1,70.0,4.0
75855,1,0,43,1,1,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0.0,0,0.0,2.25
106181,1,0,55,1,1,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0.0,0,0.0,3.25
44304,1,0,25,0,0,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0.0,1,0.0,4.0
82602,0,1,30,0,1,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0.0,0,0.0,2.5
7823,1,0,62,1,1,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0.0,0,0.0,2.25
127781,1,0,24,0,0,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0.0,1,0.0,2.5
34501,0,0,22,0,1,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13.0,1,16.0,4.0
121658,1,0,44,0,0,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,1,0.0,4.5
20219,1,0,51,0,1,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0.0,0,0.0,4.0
67551,1,0,43,1,0,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0,0,0.0,2.25
48994,0,0,56,0,1,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0.0,1,0.0,3.5
70811,1,1,41,0,1,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0.0,0,0.0,4.25
75241,1,0,22,1,1,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68.0,0,108.0,4.75
12312,0,0,53,0,1,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1.0,1,1.0,3.75
48372,1,0,12,1,1,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70.0,0,150.0,1.5
51477,0,0,39,0,0,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12.0,1,22.0,3.5
84204,0,0,55,0,0,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68.0,1,141.0,3.25
70990,0,1,32,0,0,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10.0,0,10.0,3.0
101991,0,0,40,1,1,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0.0,0,4.0,4.0
87447,0,1,42,0,0,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0.0,0,0.0,3.75
16112,1,1,24,0,1,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4.0,1,4.0,2.5
16172,1,0,22,0,0,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177.0,0,293.0,2.5
106558,0,0,28,0,0,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3.0,1,3.0,3.25
11536,0,0,36,0,2,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0,0,114.0,2.0
47773,0,0,62,0,1,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90.0,1,182.0,3.75
70521,0,0,60,0,0,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0.0,1,0.0,3.5
96283,0,0,59,1,1,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2.0,0,6.0,3.5
117993,0,0,49,0,0,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4.0,1,4.0,3.75
74703,0,0,44,1,1,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0.0,0,0.0,3.25
110840,0,0,58,1,2,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0,0,0.0,3.0
88249,1,1,24,0,0,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32.0,1,52.0,2.5
125877,0,0,53,0,1,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0.0,1,17.0,3.75
83968,1,0,56,0,1,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0.0,0,0.0,2.0
122719,0,0,30,0,0,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0.0,1,0.0,4.5
3949,1,1,27,0,0,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46.0,0,76.0,2.25
45542,1,0,27,0,0,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0.0,1,0.0,4.5
43742,0,0,67,1,1,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0.0,0,0.0,3.25
122093,0,0,32,1,1,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4.0,0,7.0,4.0
121454,1,1,36,0,1,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0.0,0,0.0,1.25
738,1,0,44,0,0,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57.0,1,123.0,4.25
75235,0,0,70,1,1,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0.0,0,0.0,3.25
88653,0,0,55,1,1,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3.0,0,3.0,4.0
26594,1,0,66,0,1,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6.0,1,15.0,4.0
38339,0,0,19,0,0,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0.0,1,0.0,3.5
46063,0,0,53,1,2,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0,0,6.0,3.5
27957,1,0,22,0,0,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0.0,0,0.0,2.0
17270,0,0,69,1,1,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0.0,0,14.0,3.5
87976,0,0,42,0,0,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47.0,1,96.0,4.75
31640,0,0,41,0,0,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40.0,1,84.0,3.25
41461,0,0,53,1,0,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0,0,3.0,3.0
15143,1,0,35,0,0,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0.0,0,0.0,2.75
78136,0,0,54,1,0,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0.0,0,0.0,3.0
120433,1,0,44,0,0,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24.0,1,29.0,3.25
41440,0,1,26,0,2,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,0,0.0,3.0
15963,0,0,44,1,1,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0.0,0,0.0,3.25
64303,0,1,24,0,1,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27.0,0,55.0,4.25
3608,0,0,54,1,1,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0.0,0,0.0,4.0
7744,1,0,42,0,2,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0,0,0.0,2.0
21276,1,1,36,0,1,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0.0,0,0.0,1.0
58576,0,0,61,0,0,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20.0,1,44.0,2.75
53888,0,0,50,1,1,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0.0,0,0.0,3.25
10980,1,0,27,0,0,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52.0,1,96.0,4.5
54151,1,0,55,0,0,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0,0,1.0,3.0
115641,1,1,21,0,1,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0,0,7.0,1.25
58584,0,0,31,1,0,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0,0,5.0,4.25
50472,0,1,37,0,1,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0,0,44.0,1.0
102623,0,0,50,0,0,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0,1,9.0,3.0
31533,0,0,21,1,1,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0,0,26.0,2.5
42287,0,0,53,0,1,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0.0,0,0.0,2.25
70467,1,0,45,0,0,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0,1,11.0,3.75
20461,0,1,42,0,1,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,0,34.0,4.5
113346,1,0,59,0,0,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,1,0.0,3.5
115566,0,0,54,0,1,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0,0,178.0,3.0
119896,0,0,46,0,0,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0,1,5.0,2.75
88853,0,0,52,1,2,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,0,0.0,2.75
24895,0,0,38,1,1,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0,0,0.0,4.25
31122,1,0,35,0,0,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0,1,0.0,2.75
91231,0,0,41,1,1,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0,0,0.0,3.5
61426,0,1,40,0,0,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0,0,0.0,3.5
68873,0,1,36,0,1,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0,0,13.0,3.5
125701,1,0,67,1,1,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0,0,0.0,2.0
94999,0,0,38,1,1,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0,1,5.0,4.75
56694,0,0,50,1,1,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0,0,0.0,4.5
62010,1,0,50,0,0,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0,1,0.0,3.25
95868,1,0,54,0,0,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0,1,128.0,4.5
123064,1,0,56,0,0,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0,1,230.0,4.0
103418,1,0,38,1,1,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0,0,2.0,2.25
73456,0,0,7,1,1,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0,0,29.0,2.25
8851,0,0,32,0,0,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0,1,2.0,4.25
64241,1,0,45,0,1,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0,0,7.0,4.0
81723,1,1,25,0,1,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0,0,24.0,2.75
88237,0,0,45,0,0,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,1,0.0,4.25
50619,1,0,34,1,1,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0.0,0,0.0,1.5
54444,1,0,20,1,2,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,0,7.0,1.5
64765,0,1,36,0,1,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0,0,22.0,1.25
15941,1,1,36,0,1,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0,0,0.0,2.25
14965,1,0,27,0,0,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0,1,0.0,4.0
36897,1,0,40,1,1,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0,0,0.0,3.0
127954,1,0,31,0,0,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0,1,4.0,4.75
27872,1,0,25,0,2,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0,1,0.0,0.75
35854,1,0,42,0,0,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0,1,0.0,2.75
14527,0,0,45,0,1,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0,1,69.0,3.5
47021,1,0,59,1,0,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0,0,11.0,3.0
11224,1,0,34,1,1,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0,0,11.0,3.0
3921,0,0,22,1,1,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0,0,17.0,2.5
69463,1,0,21,1,1,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0,0,0.0,2.25
47050,1,0,26,0,0,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0,0,37.0,3.0
21970,1,0,37,0,0,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0,1,180.0,3.0
30046,1,0,38,0,0,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0,1,0.0,2.5
1256,0,0,17,1,1,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0,0,0.0,4.0
73813,1,0,15,1,2,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,0,13.0,4.25
110928,0,0,53,1,1,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0,0,0.0,4.0
102981,1,1,39,0,0,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0,0,181.0,2.5
61571,1,0,40,0,0,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,1,0.0,4.0
3796,0,1,28,0,2,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,0,46.0,3.5
73906,0,1,27,0,0,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0,0,10.0,2.25
74090,0,0,41,0,0,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,1,0.0,4.25
76645,0,0,7,1,1,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0,0,0.0,4.25
100462,1,1,48,0,0,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0,0,3.0,2.25
54164,1,0,13,0,1,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0,0,0.0,2.0
6147,0,0,48,0,0,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,1,0.0,3.75
1262,0,0,49,1,1,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0,0,11.0,3.75
20310,1,1,26,0,0,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0,1,5.0,2.0
46896,1,0,22,0,0,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0,1,0.0,2.75
7237,0,0,53,0,0,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0,0,358.0,1.75
44293,0,0,43,0,1,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,1,0.0,4.0
52496,1,0,56,0,0,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0,1,0.0,2.75
68263,0,0,69,1,1,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0,0,0.0,3.75
5289,1,0,59,1,1,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0,1,0.0,1.75
109359,0,0,56,0,0,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0,1,9.0,4.25
94988,1,0,11,1,1,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0,1,0.0,3.5
53605,0,0,25,0,1,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0,1,164.0,3.75
11005,0,1,29,0,1,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0,1,0.0,2.5
14794,0,0,48,0,1,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0,1,0.0,3.0
49480,0,0,42,0,0,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0,1,0.0,3.25
120440,1,1,15,0,1,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,0,0.0,2.75
55823,0,1,49,0,0,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0,0,0.0,2.25
107792,1,0,41,0,0,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0,1,47.0,3.75
80531,1,0,43,0,0,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,1,0.0,2.5
128145,1,0,60,0,0,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0,1,0.0,4.75
63370,0,0,42,1,1,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0,1,0.0,3.25
12452,0,0,8,1,1,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0,0,0.0,3.75
16145,0,0,42,0,1,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0,1,154.0,5.0
44418,1,1,18,0,2,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,0,73.0,2.5
95746,1,0,47,0,0,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0,1,0.0,3.25
41134,0,1,27,0,1,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0,0,28.0,4.75
3214,0,0,67,1,2,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,0,191.0,2.75
74101,1,1,38,0,0,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0,1,0.0,2.75
106220,0,1,20,0,1,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0,0,0.0,3.25
88134,0,0,60,0,0,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0,1,1.0,3.75
64475,1,1,23,0,0,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0,1,10.0,4.0
123812,1,1,25,0,0,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0,0,0.0,2.25
88893,0,0,38,0,0,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,1,0.0,3.75
31244,0,0,40,0,0,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0,1,4.0,3.5
97762,1,0,19,1,1,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,0,0.0,1.5
59851,0,0,61,0,0,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0,1,6.0,3.75
25137,1,0,44,1,1,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0,0,31.0,4.5
18412,0,0,22,1,1,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0,0,69.0,3.0
87192,0,1,8,0,1,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0,0,2.0,2.75
127062,0,0,45,0,0,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0,0,41.0,3.25
112169,1,0,46,1,1,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0,1,65.0,1.75
127798,0,0,54,0,0,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0,0,167.0,3.5
91778,1,0,62,1,1,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0,0,0.0,1.25
42609,0,0,25,0,0,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0,1,0.0,2.75
67482,0,0,32,1,1,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0,0,0.0,2.25
91108,0,0,65,1,1,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0,0,4.0,3.25
102318,1,1,40,0,0,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0,0,0.0,2.0
51281,0,0,30,0,2,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0,1,0.0,1.5
6528,0,0,67,1,1,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,0,0.0,2.25
121232,1,0,51,0,0,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,1,0.0,4.25
72478,0,0,47,0,0,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0,1,4.0,5.0
122788,0,0,38,0,1,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0,0,8.0,1.0
5528,1,0,54,0,0,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0,1,0.0,3.5
107726,0,0,57,1,1,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4.0,0,4.0,2.0
72606,1,0,13,1,1,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0.0,0,0.0,1.75
75522,0,1,20,0,1,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0.0,1,0.0,4.0
125687,0,0,45,0,0,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94.0,0,117.0,1.75
79908,0,0,51,0,0,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0.0,1,0.0,3.25
117345,1,1,25,0,0,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0.0,1,0.0,1.5
73465,0,0,39,1,1,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163.0,0,331.0,3.25
95851,0,0,46,0,0,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16.0,1,34.0,3.5
44992,1,0,53,0,1,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0.0,0,0.0,1.0
70631,0,0,61,1,1,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0.0,1,0.0,3.5
13761,0,0,61,0,2,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102.0,1,198.0,3.25
74968,1,0,16,1,1,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42.0,0,87.0,3.75
12371,0,0,44,0,0,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1.0,0,1.0,2.25
8378,0,0,17,0,0,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0.0,1,16.0,5.0
82080,0,0,50,0,1,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49.0,0,84.0,2.75
107972,0,1,40,0,0,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4.0,1,4.0,4.75
101228,1,0,47,0,0,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0.0,1,6.0,3.75
85577,0,0,80,0,0,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0.0,1,0.0,2.75
2717,0,0,38,1,1,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0.0,1,0.0,4.25
88529,1,0,31,1,1,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0.0,1,0.0,3.5
91613,1,0,59,0,0,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15.0,0,15.0,4.25
88865,0,0,22,0,0,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0.0,0,0.0,4.0
96960,0,0,53,0,0,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3.0,1,3.0,4.5
51191,0,0,56,0,2,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0.0,1,0.0,4.25
9461,0,0,48,1,1,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0.0,0,0.0,3.5
66384,1,1,38,0,0,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25.0,0,27.0,2.25
41934,1,0,64,1,1,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9.0,0,22.0,1.0
25381,1,0,67,1,1,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0.0,0,0.0,3.75
14757,0,0,62,0,0,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0.0,1,0.0,2.75
94013,1,0,57,0,0,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15.0,1,31.0,3.0
80107,0,1,27,0,1,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32.0,0,56.0,1.25
23590,0,1,25,0,1,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11.0,0,24.0,4.0
110384,0,0,52,0,1,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72.0,0,157.0,2.75
15069,0,0,45,0,2,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0.0,1,0.0,3.5
17128,0,1,23,0,1,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,13.0,0,19.0,1.5
